zincid,smiles,consensus_score,docking_score,boltz_prob,is_active
ZINC000335634560,CNC(=O)CN(C)C(=O)[C@@]1(C)C[C@H]1F,0.28954554,-5.925,0.0734859,0
ZINC000339696035,COCC(C)(C)C(=O)N[C@H](C)CC[S@@](C)=O,0.32468483,-5.781,0.1580643,0
ZINC000379312328,CC[C@]1(C)CCN(CCCF)C1,0.34176528,-5.813,0.18857232,0
ZINC000388405370,C[C@H]1CC[C@@H]1NCCCCCO,0.36553293,-5.711,0.24625811,0
ZINC000389314976,CCCN1CC[C@@H](N=c2cc[nH]c(C#N)c2)C1,0.62413,-7.071,0.6171259,0
ZINC000414860480,C[C@@H](NCc1ccccn1)[C@@H]1CCCNC1,0.5971798,-7.46,0.5232984,0
ZINC000424746902,CCC(=O)CNC(=O)[C@@H]1CCCC[C@@H]1C,0.4315652,-7.231,0.21903837,0
ZINC000458915345,CCC[C@H](O)CNC(=O)NCC1=CCCCC1,0.60707283,-7.615,0.5267814,0
ZINC000594036961,N#CCCCCC(=O)N1CC[C@H](F)C1,0.31660315,-6.528,0.06439492,0
ZINC000640328414,COCc1ccnc(NC(=O)NCC#CCO)c1,0.42493534,-7.462,0.1818898,0
ZINC000662395994,O=C(N1CCCNCC1)C1(n2cnnn2)CC1,0.41821593,-7.317,0.18365389,0
ZINC000664838775,C[C@H](NC(=O)NC/C=C\CO)c1ccsc1,0.41196376,-6.837,0.22117111,0
ZINC000751796188,Cc1ccc(COC(=O)[C@@H]2CC2(C)C)nc1,0.44537327,-7.711,0.19648871,0
ZINC000763474266,Cn1ccc(C(=O)OCCOc2ccccc2)c1,0.502967,-7.527,0.3297059,0
ZINC000780291550,C#CCCCCCC(=O)NS(C)(=O)=O,0.3393895,-6.653,0.09653729,0
ZINC000797857683,CC(C)c1cnc(COC(=O)c2ccc[nH]2)o1,0.5579803,-7.476,0.44398436,0
ZINC000823487112,O=C(NC[C@@H]1CCC=CO1)N[C@H]1CC12CC2,0.4238499,-6.956,0.23234493,0
